"","station","name","lon","lat"
"21044","14845000","FAZENDA SAO JOSE",-60.4661,0.5178
"21046","14850000","BASE ALALAU",-60.52,-0.8586
"21066","15030000","JATUARANA",-59.6478,-3.0633
"21069","15040000","CAREIRO",-59.8336,-3.1961
"21070","15042000","RIO PRETO DA EVA",-59.7036,-2.6989
"21078","15050000","PONTES E LACERDA",-59.3539,-15.2153
"21082","15120001","MATO GROSSO",-59.9581,-15.0092
"21092","15124009","CABIXI",-60.53,-13.5125
"21102","15130000","PIMENTEIRAS",-61.05,-13.4858
"21109","15150000","PEDRAS NEGRAS",-62.8992,-12.8514
"21118","15160000","PCH ALTA FLORESTA MONTANTE",-62.0833,-11.9167
"21121","15170000","CACHOEIRA DO CACHIMBO",-62.1528,-11.9306
"21133","15200000","PRINCIPE DA BEIRA",-64.4253,-12.4267
"21148","15245000","SERINGAL SAO LUIZ",-64.0833,-11.0667
"21149","15246000","BOA VISTA DO PACAAS",-64.9061,-11.2117
"21152","15248010","BOCA DO POMPEU - JUSANTE",-65.0433,-10.9175
"21153","15250000","GUAJARA-MIRIM",-65.3478,-10.7925
"21195","15318000","UHE JIRAU JUSANTE RIO BENI",-65.3614,-10.3569
"21197","15320002","ABUNA",-65.3667,-9.7053
"21201","15323000","COLOCACAO CAJUEIRO",-67.1333,-10.2947
"21202","15324000","PLACIDO DE CASTRO",-67.1831,-10.3378
"21205","15325000","MORADA NOVA",-65.5667,-9.8333
"21206","15326000","MORADA NOVA - JUSANTE",-65.5275,-9.7847
"21212","15340000","PALMEIRAL (SALTO JIRAU)",-64.81,-9.5119
"21225","15380000","UHE SANTO ANTONIO JUSANTE R-7",-63.9303,-8.7822
"21227","15400000","PORTO VELHO",-63.9169,-8.7483
"21249","15430000","ARIQUEMES",-63.0714,-9.9256
"21253","15431000","FAZENDA RIO BRANCO",-62.9847,-9.8869
"21257","15432000","MINERACAO PONTE MASSANGANA",-63.2875,-9.7608
"21258","15440000","SAO CARLOS",-63.1333,-9.7
"21260","15445000","PONTE DO RIO PRETO DO CRESPO",-62.9508,-9.5558
"21261","15450000","SAO PEDRO",-63.2772,-8.9836
"21267","15460000","CACH DO SAMUEL",-63.4667,-8.75
"21273","15460008","CACH DO SAMUEL JUS 3.CONJ",-63.4667,-8.75
"21275","15460012","CACHOEIRA DO SAMUEL 17-F",-63.5072,-8.7489
"21276","15470000","PONTE DA BR-364",-63.4875,-8.7747
"21282","15500000","SANTA BARBARA",-63.7833,-9.1833
"21283","15550000","SANTA ISABEL",-63.7106,-8.7986
"21294","15552300","BARAO DO MELGACO",-60.7167,-11.85
"21302","15552600","FAZENDA FLOR DO CAMPO",-60.8678,-11.7489
